Date ,Happy,Stress,Sleep,Energy,Water (oz)
1/1/2020,2,9,6,4,75
1/2/2020,8,5,9,8,76
1/3/2020,5,7,5,7,70
1/4/2020,6,4,7,6,67
1/5/2020,7,4,5,7,51
1/6/2020,8,4,7,8,50
1/7/2020,4,8,7,7,77
1/8/2020,2,9,6,8,60
1/9/2020,7,5,7,6,51
1/10/2020,7,5,8,8,72
1/11/2020,5,6,6,7,63
1/12/2020,6,5,8,7,62
1/13/2020,4,5,6,6,63
1/14/2020,9,4,7,8,57
1/15/2020,9,3,5,6,52
1/16/2020,9,5,8,9,75
1/17/2020,5,8,7,8,74
1/18/2020,7,5,6,8,66
1/19/2020,7,4,8,6,50
1/20/2020,7,6,7,5,57
1/21/2020,4,8,8,6,61
1/22/2020,8,4,6,7,69
1/23/2020,9,4,7,5,64
1/24/2020,10,3,6,5,60
1/25/2020,9,3,9,10,60
1/26/2020,9,4,7,7,62
1/27/2020,8,3,6,8,80
1/28/2020,8,2,9,10,68
1/29/2020,9,4,6,6,63
1/30/2020,9,4,8,8,79
1/31/2020,7,5,6,6,74
2/28/2020,5,5,8,10,55
3/31/2020,8,4,8,8,80
4/30/2020,9,3,6,5,76
5/31/2020,6,6,9,10,74
6/30/2020,8,4,10,10,57
7/31/2020,7,4,7,8,58
8/31/2020,10,2,8,9,80
9/30/2020,9,4,9,9,74
10/31/2020,8,3,5,6,53
11/30/2020,8,4,7,8,65
12/31/2020,9,3,7,8,73
1/31/2021,7,3,8,6,52
2/28/2021,8,4,8,9,55
3/31/2021,9,3,7,8,56
4/30/2021,8,3,6,7,60
5/31/2021,9,2,7,7,56
6/30/2021,10,4,7,5,50
7/31/2021,10,5,6,4,56
8/31/2021,10,3,7,6,80
9/30/2021,10,2,8,6,51
10/31/2021,8,5,7,5,67
11/30/2021,6,6,8,7,65
12/31/2021,6,7,7,5,78
1/31/2022,5,5,7,5,61
2/28/2022,5,6,6,4,72
3/31/2022,2,7,6,4,63
4/30/2022,4,5,5,4,70
5/31/2022,5,4,8,8,76
6/30/2022,7,6,7,7,66
7/31/2022,9,2,10,10,70
8/31/2022,9,1,8,6,73
9/30/2022,8,3,8,7,61
